# {"t_start": 1713710399.825972, "env_id": "PctDiscrete-v0"} 
r,l,t
180.120639,27,7.669062
309.570061,41,16.806969
251.061638,34,24.57542
228.293934,32,31.679785
149.56113,20,36.138336
207.932371,31,43.782896
215.088798,30,50.814644
226.13331,33,58.72211
153.607534,23,64.105998
242.814566,36,89.859553
215.232421,32,129.43507
237.364549,37,138.627162
265.625585,36,147.200259
203.54344,28,153.816436
270.373676,38,164.10486
232.84912,36,285.632545
228.564287,31,293.083814
204.245209,30,300.015254
221.882173,31,307.517697
234.638916,37,316.136414
261.254417,38,325.18892
244.297411,37,333.775435
219.838421,34,341.542114
266.759212,39,351.034996
226.158184,33,358.44978
252.201516,35,366.664437
161.18818,23,371.93975
214.29228,32,380.151289
255.006801,35,388.698493
217.1853,32,396.681618
187.497511,29,403.884923
277.468617,37,413.495799
246.552693,31,421.589098
246.671442,34,430.331159
223.449902,36,439.143787
267.136696,39,448.957757
204.950268,27,458.227937
236.758415,36,484.084215
219.483463,31,629.642656
210.990044,30,637.52762
235.402209,35,646.103504
214.885587,31,653.93507
231.763133,33,662.221394
204.218084,27,669.237684
227.919828,30,676.882054
222.28592,30,691.830885
251.946584,37,938.495502
197.61597,30,945.13566
221.741886,32,952.951048
224.581702,30,960.877696
240.885619,36,970.384756
229.95857,34,978.79353
207.73918,33,987.173565
250.624226,37,996.991165
108.663408,16,1000.999912
235.952039,33,1009.157583
210.840866,36,1018.319139
176.070335,27,1025.199243
230.565037,36,1034.87606
173.748804,27,1051.390928
294.324877,40,1116.866341
194.675267,28,1207.724064
191.499745,29,1214.550175
206.331673,27,1220.90237
227.74215,32,1228.351898
220.897047,33,1236.463034
206.955008,32,1244.228348
146.691091,24,1250.403807
220.134101,29,1257.471441
281.697389,38,1266.962936
212.935547,29,1273.938348
210.981777,30,1280.644236
232.516935,36,1289.764258
267.978896,38,1298.469946
246.464003,35,1306.722379
227.355602,32,1313.91657
260.148089,36,1322.291903
245.314374,34,1330.591213
230.392317,32,1337.351548
233.289775,31,1344.466419
203.99238,29,1351.438707
203.736942,31,1358.768979
248.623436,36,1367.182373
221.623173,33,1374.485036
195.659035,27,1380.67457
276.507719,39,1389.42642
249.458702,36,1397.67839
297.488337,40,1406.700569
268.166571,39,1415.882246
195.832353,28,1422.26475
190.41527,27,1428.094644
224.448569,33,1435.506164
225.406926,33,1443.191387
196.717156,30,1450.252527
274.885291,39,1459.155395
204.87505,29,1465.758506
195.775381,30,1472.550714
267.578056,37,1480.815281
242.946856,35,1489.069901
245.924993,37,1497.280482
177.395964,27,1503.603107
233.253527,32,1510.813844
195.452037,29,1517.525298
202.086137,28,1523.842373
249.282504,37,1532.304072
200.334951,28,1538.261989
195.242843,29,1544.752733
272.996928,36,1552.822031
199.480309,28,1559.318667
173.886805,23,1564.64005
244.369078,36,1572.710666
251.881768,35,1580.977045
208.334744,29,1587.698084
204.172767,29,1594.481138
195.781326,26,1600.782637
208.79864,32,1608.202483
227.492346,33,1615.877201
305.907618,41,1625.23159
230.923335,30,1632.391095
234.400394,33,1640.06479
257.820745,40,1649.832197
197.521734,30,1656.787938
255.724375,39,1665.941793
226.207293,30,1672.981374
110.189846,16,1676.740884
217.478485,30,1683.601743
263.559086,37,1691.943012
293.58667,38,1700.842051
220.955696,31,1708.365137
262.291163,38,1716.885457
259.866354,37,1725.364444
321.194982,45,1735.753508
264.217004,35,1744.024085
216.934622,33,1751.620831
245.249274,39,1760.91318
203.740468,32,1768.391274
264.209184,37,1776.699132
197.756743,30,1783.995342
196.739486,29,1791.359907
292.166171,41,1800.984846
258.552498,37,1808.983757
221.712041,31,1816.104542
243.969621,35,1824.083861
259.171786,37,1832.330821
249.794716,32,1839.636266
234.567441,32,1847.309432
198.099366,30,1854.143219
140.260004,22,1859.21795
217.00117,35,1867.415042
170.842232,26,1873.34835
174.869022,26,1879.351846
251.949755,33,1887.143494
274.273831,41,1896.761817
254.790433,37,1905.543937
246.635663,36,1914.015426
152.256513,23,1919.592356
208.284504,28,1925.85618
280.469837,38,1934.677454
273.796412,40,1944.0161
264.808763,41,1953.540698
254.107041,37,1962.106674
223.906024,29,1968.806391
202.464701,30,1975.987113
226.33953,31,1982.935679
203.031652,27,1989.369946
164.63581,23,1994.764262
233.331974,33,2002.18964
275.315549,39,2011.443376
160.764303,22,2016.635386
216.72869,31,2023.979291
240.070895,35,2032.098398
156.51068,22,2037.011166
220.55143,30,2044.246052
246.677372,35,2052.644746
182.982387,29,2059.47372
243.370201,35,2067.36837
234.18738,32,2074.951923
210.236263,31,2082.238809
229.704385,29,2089.043548
288.936338,40,2098.084835
37.636108,9,2100.079114
209.880807,29,2106.89054
207.433928,29,2113.561344
217.685175,31,2120.74639
239.870492,36,2129.177965
230.704294,34,2137.147743
243.258993,35,2145.142205
205.092916,29,2151.949581
218.663179,34,2160.107301
257.725591,38,2168.87423
255.174968,34,2176.778903
220.687112,33,2184.716977
205.872592,31,2191.946726
213.880226,31,2199.263836
209.499812,33,2207.047458
195.989649,27,2213.388369
181.397282,25,2218.844542
258.92503,34,2226.824876
247.601949,37,2235.314184
166.047524,25,2241.073507
224.147984,33,2248.582953
262.671147,36,2257.031243
187.873997,28,2263.291716
239.778405,32,2270.56885
197.008569,31,2277.856172
243.58054,36,2286.287147
226.75443,33,2293.912352
210.26764,32,2301.375874
199.372112,31,2308.528765
216.364673,29,2315.228121
265.278614,41,2324.838256
217.759011,32,2332.178568
230.497001,33,2339.938015
230.779168,35,2348.073644
256.088214,36,2356.585537
255.097877,38,2365.140459
199.261609,27,2371.278885
249.527449,36,2379.631424
287.379048,44,2390.071894
280.539087,42,2399.759041
254.144842,39,2408.903964
268.741961,36,2417.445747
258.895571,38,2426.138783
233.899744,37,2434.79419
162.405917,23,2440.446283
201.482564,30,2447.343104
197.369036,30,2454.250422
258.040785,32,2461.863066
258.843633,37,2470.525918
259.436458,40,2479.828572
194.131365,29,2486.855527
243.345374,34,2494.780492
202.413506,31,2501.647601
274.348271,37,2510.097121
228.723577,33,2517.877704
278.892318,37,2526.279501
206.077465,30,2533.164548
225.796116,34,2541.185318
192.578143,27,2547.276875
175.967144,25,2552.995051
201.679549,33,2560.729317
271.3042,40,2570.134499
218.266076,33,2577.887846
260.964331,36,2586.39502
205.159817,29,2593.616355
215.700057,29,2600.604006
239.96042,34,2608.573736
260.85266,35,2616.449111
164.717185,24,2622.105868
212.128501,29,2629.028159
235.247344,35,2637.192309
226.536955,33,2644.836866
288.988364,39,2654.079965
264.883099,39,2662.956465
200.891353,29,2669.924239
250.11256,31,2677.174542
247.343409,38,2685.841867
182.118063,27,2692.078786
253.684121,35,2700.483035
227.386502,34,2708.483093
245.798201,33,2716.112222
250.911422,35,2724.379118
194.353841,28,2730.790604
213.708134,32,2737.937062
235.969862,38,2746.909736
226.878243,33,2754.645659
185.488013,28,2761.094723
221.169659,30,2768.58618
260.981602,35,2776.87383
220.230075,32,2784.196129
239.877927,34,2791.914676
220.987709,32,2799.118416
197.689664,29,2806.10917
231.929908,32,2813.373337
275.301673,39,2822.129664
228.472717,34,2830.030179
204.625533,31,2837.237856
218.60494,32,2844.524086
172.449936,24,2850.242492
213.935854,32,2857.477732
213.164953,29,2864.236788
245.484666,35,2872.395832
169.121113,21,2877.213127
244.601786,32,2884.710175
206.773401,27,2890.986858
195.549766,29,2897.742979
204.702805,32,2905.14338
247.216531,36,2913.350817
201.089898,28,2919.918657
191.008641,25,2925.397406
228.245885,33,2933.054639
255.729143,38,2941.886632
222.416062,30,2948.886511
263.069412,35,2957.158505
238.826046,32,2964.830408
237.284901,34,2972.809572
183.522979,30,2979.687813
214.062147,33,2987.500598
204.011686,30,2994.351201
242.319217,34,3002.142926
190.788491,29,3008.910089
254.736776,39,3017.6038
179.296409,27,3023.639795
248.934939,34,3031.595324
202.794039,30,3038.833235
270.318349,37,3047.88612
246.549651,35,3055.867754
228.719347,33,3063.920122
304.318051,41,3073.093374
204.255561,26,3079.094537
248.296858,35,3087.099945
173.5985,25,3093.388918
246.579922,35,3101.431095
239.975748,33,3108.992701
245.651118,37,3117.382081
196.064255,28,3123.821124
234.259573,35,3132.234661
207.33184,31,3139.466113
205.871182,31,3146.496369
176.816433,25,3152.332872
289.802552,40,3161.71639
180.016184,27,3167.951023
234.74002,32,3175.463806
269.136566,37,3183.936916
277.521527,36,3192.39164
251.212734,36,3201.064797
203.434203,28,3207.51053
200.035689,30,3214.463015
186.106179,32,3222.061469
203.737403,29,3228.915037
200.355621,28,3235.555696
263.617279,38,3244.474454
285.51593,41,3254.068569
267.485072,38,3263.194097
310.96036,45,3273.589103
245.574594,34,3281.587232
277.252653,38,3290.224815
246.973974,37,3298.410168
211.874983,33,3306.226898
257.208893,36,3314.64514
231.962599,34,3322.532332
255.423547,33,3330.326694
224.392483,31,3337.223765
210.02785,30,3344.202582
107.759893,15,3347.7372
227.144492,35,3355.78107
235.502357,33,3363.337767
208.538685,30,3370.362849
189.403187,30,3377.719732
246.360064,34,3385.870643
202.317457,27,3392.219497
292.084218,44,3402.553188
269.96935,41,3412.181984
184.811401,25,3418.032578
220.031794,33,3425.450706
185.34073,25,3431.387425
231.743478,35,3439.554673
257.479402,36,3448.276193
225.069296,31,3455.593028
240.601335,35,3463.890567
226.775815,34,3472.074206
303.172176,45,3482.859209
336.714041,44,3492.988293
212.531304,27,3499.557481
203.793012,31,3506.625307
202.733478,35,3514.698769
276.184733,37,3523.293305
165.672327,25,3529.337538
237.396762,33,3537.126321
271.711608,37,3545.759031
212.121642,28,3552.450772
213.738197,29,3559.241306
198.795712,28,3565.836211
221.050822,34,3573.81776
230.935968,33,3581.4163
229.611249,31,3588.445695
202.71896,29,3595.311806
216.877711,33,3602.918246
269.9594,40,3612.015858
169.233985,21,3616.783209
239.26984,37,3625.11078
248.425772,40,3634.494993
251.11799,34,3642.764463
225.363852,34,3650.890282
219.50582,34,3658.814729
194.65608,26,3664.949998
209.683662,33,3672.660921
213.318046,32,3680.192604
187.815486,27,3686.467432
198.376921,30,3693.305653
257.558063,38,3702.353858
246.556693,33,3709.681031
218.029787,29,3716.36545
186.351128,30,3723.645983
236.245434,32,3730.965399
203.361046,31,3738.050312
218.037026,32,3745.405282
218.194219,29,3752.145457
208.768614,33,3759.557421
238.886133,33,3767.33483
259.207107,37,3775.74031
213.134095,32,3783.270293
225.504191,33,3791.303447
272.337924,38,3800.197405
175.491096,25,3806.193977
286.636408,41,3815.886841
206.51718,34,3823.828908
168.394809,25,3829.790311
133.902065,19,3834.158661
209.682979,30,3841.395341
223.46278,30,3848.388324
202.640142,29,3855.087883
232.808943,32,3862.854632
220.135854,31,3870.386404
236.815026,36,3878.568023
206.827326,30,3885.563643
277.725829,42,3895.187085
237.307124,34,3903.131762
239.423451,34,3910.754447
277.083032,38,3919.479174
174.509494,27,3925.931469
248.421541,36,3934.301322
169.612676,24,3939.974013
201.666968,29,3946.988829
235.849748,31,3954.063729
229.272171,36,3962.601621
207.530055,29,3969.3831
261.898177,38,3978.331182
227.078117,32,3985.565189
244.591611,34,3993.392465
232.199027,33,4000.956887
244.908418,33,4008.595356
251.86675,35,4016.926605
200.818511,31,4024.149242
70.231983,10,4026.588348
265.845538,40,4036.132647
219.485855,33,4044.015173
177.692892,25,4049.836308
252.581456,37,4058.240681
189.496989,25,4064.409165
231.00855,31,4071.775821
260.115991,40,4081.021809
193.147125,26,4087.212171
245.711029,36,4095.981141
252.855718,33,4104.065582
265.473617,39,4113.146155
174.857714,27,4119.418458
291.324407,42,4129.222815
229.650079,31,4136.801293
220.488655,32,4144.676681
263.883154,42,4154.224584
218.919803,30,4161.407238
164.490015,24,4166.859729
250.284538,37,4175.18542
269.196847,37,4183.840586
216.929263,30,4191.122861
195.933987,31,4198.083388
210.643699,28,4204.747655
199.213972,29,4211.30864
185.430504,27,4217.970749
231.7347,32,4225.184572
226.554846,33,4232.736769
232.297197,32,4240.431676
219.953832,32,4248.469862
205.884454,32,4255.856121
197.936074,31,4263.001469
239.995948,36,4271.468971
242.247623,31,4278.730971
210.524136,30,4285.746588
215.776537,32,4293.224166
233.174741,34,4301.315217
175.332031,26,4307.60899
148.144763,26,4313.781135
222.421696,30,4321.131296
216.583776,34,4329.243099
209.706479,30,4336.633004
182.405563,28,4343.05305
191.148448,31,4350.373251
219.007469,33,4357.858348
261.508878,33,4365.68631
197.941211,29,4372.691985
228.343837,31,4379.967584
229.907373,36,4388.043735
189.039899,32,4395.464545
270.310291,39,4404.734053
207.239579,32,4412.476793
296.726691,40,4421.549325
238.738397,34,4429.572878
237.63099,34,4437.30419
247.946053,35,4445.85534
229.613771,33,4453.872849
239.529236,34,4461.799182
294.173398,40,4471.304286
226.415876,32,4478.76833
242.248261,34,4486.95636
178.725626,26,4492.923571
229.832696,31,4499.950423
229.739075,33,4508.015401
295.795217,42,4517.766869
242.356067,34,4525.775033
185.782166,26,4532.131784
261.521964,37,4541.009379
212.905591,30,4548.61568
221.411735,34,4556.841869
251.439945,36,4565.581952
245.10422,32,4573.333964
250.366594,39,4582.415133
272.040662,35,4590.543785
192.907438,27,4597.192807
247.025728,32,4604.885732
242.629433,37,4613.767987
253.775039,36,4622.383789
208.069884,30,4629.570999
263.174026,39,4638.872579
248.857165,37,4647.569462
218.467666,35,4656.121797
235.726718,33,4663.922102
138.647587,19,4668.575879
231.118028,31,4676.055476
216.767378,33,4684.235788
214.629785,32,4692.044303
194.375079,27,4698.783354
263.451229,38,4707.879252
223.40333,31,4715.696963
232.269346,34,4723.605795
249.417282,34,4732.210015
246.351339,34,4740.294155
208.584553,27,4746.967871
225.521662,33,4754.583064
318.963747,41,4764.666819
240.407196,33,4772.649581
205.368544,30,4779.58763
268.573381,36,4788.733764
291.445391,38,4797.765219
135.033819,21,4802.735085
172.663852,28,4809.583927
243.353238,32,4817.677237
211.679466,27,4824.218869
256.656715,37,4833.371394
205.314442,30,4841.268988
217.813863,32,4849.46143
204.387662,28,4855.804348
196.186447,28,4862.505318
251.219481,36,4871.052104
227.278475,32,4879.027204
224.267274,34,4887.509475
217.311569,34,4895.643604
225.994572,33,4903.939939
267.21405,36,4913.237516
274.930914,41,4923.523629
277.26791,38,4933.038457
157.612027,22,4938.592569
245.076174,35,4947.576096
229.983536,35,4956.06961
216.436719,30,4963.344599
216.45786,32,4971.203082
262.708726,36,4980.376974
242.082078,31,4987.367801
205.792526,31,4994.854746
202.10119,29,5001.975654
264.506034,40,5011.689897
221.127816,34,5019.678791
246.897668,32,5027.142869
247.646023,36,5036.338866
233.210846,33,5044.423827
266.876708,40,5054.321618
245.112792,33,5062.509529
287.661765,42,5072.875339
229.634214,34,5080.938634
242.038185,35,5089.483957
247.504739,34,5097.710448
225.986284,30,5105.59127
282.925818,40,5114.806627
228.956225,32,5122.948023
187.467138,27,5129.814316
279.137409,42,5140.373493
249.017275,35,5148.962056
231.691961,30,5156.567527
205.714892,29,5164.479413
218.110224,28,5171.104127
196.319404,27,5177.249702
295.584699,41,5187.175336
261.523179,35,5195.944289
201.651431,29,5202.84426
233.922042,37,5211.946934
225.689067,31,5219.691039
193.081822,30,5226.733299
194.411459,32,5234.51305
217.359027,33,5242.989729
292.920476,44,5253.857258
266.368306,35,5261.721872
308.471134,43,5272.216384
244.944942,34,5280.604675
214.28571,33,5288.654015
186.123716,28,5295.117911
244.161786,34,5303.582475
217.060045,31,5310.907879
196.383445,29,5318.089127
190.885535,28,5324.795432
189.273919,33,5333.070471
189.308859,26,5339.552005
229.05212,35,5348.116002
178.502712,27,5354.526709
199.732055,28,5361.756985
222.704932,30,5369.295128
271.266996,36,5378.407569
245.027952,37,5387.719992
249.303269,36,5396.890139
234.791523,37,5406.328887
210.351004,31,5414.343964
260.59069,37,5423.21646
215.03746,32,5431.048696
222.360098,32,5438.333442
234.140988,34,5447.049992
290.820367,39,5457.249868
198.968373,30,5464.783749
